Gene,Perturbed_excitatory_count,Unperturbed_excitatory_count,Perturbed_inhibtory_count,Unperturbed_inhibtory_count,excitatory_LogFC,inhibtory_LogFC,Total_cells
Nkx2-1,917,919,1178,1176,-0.0031431276939800435,0.002451478994096389,2153
Pax9,918,919,1177,1176,-0.0015707078752265138,0.001226260202079849,2153
Foxa1,919,919,1176,1176,0.0,0.0,2153
Six6,919,919,1176,1176,0.0,0.0,2153
Six1,914,919,1181,1176,-0.00787069623096478,0.006120904560792738,2153
Six4,919,919,1176,1176,0.0,0.0,2153
Hif1a,850,919,1243,1176,-0.11260202026397045,0.07993823621612046,2153
Esr2,918,919,1177,1176,-0.0015707078752265138,0.001226260202079849,2153
Zbtb25,929,919,1166,1176,0.015613735093618356,-0.012320271635867894,2153
Zbtb1,922,919,1174,1176,0.004701889140303366,-0.0024556517263121347,2153
Max,910,919,1185,1176,-0.014198316202975882,0.010998998949257108,2153
Dpf3,923,919,1172,1176,0.006265786356739574,-0.004915490414116527,2153
Vsx2,919,919,1176,1176,0.0,0.0,2153
Prox2,925,919,1170,1176,0.009388504114640078,-0.007379530365597452,2153
Fos,920,919,1174,1176,0.001568999655340681,-0.0024556517263121347,2153
Jdp2,910,919,1187,1176,-0.014198316202975882,0.013431874805542431,2153
Batf,919,919,1176,1176,0.0,0.0,2153
Esrrb,919,919,1176,1176,0.0,0.0,2153
Foxn3,926,919,1169,1176,0.01094733197120195,-0.008613130304708033,2153
Gsc,919,919,1176,1176,0.0,0.0,2153
Bcl11b,917,919,1178,1176,-0.0031431276939800435,0.002451478994096389,2153
Yy1,935,919,1165,1176,0.024901503485964566,-0.013558105294721786,2153
Zbtb42,921,919,1176,1176,0.0031362948023009943,0.0,2153
Sp4,934,919,1167,1176,0.023357688420627503,-0.011083499129016334,2153
Sp8,927,919,1169,1176,0.01250447733649627,-0.008613130304708033,2153
Klf6,906,919,1196,1176,-0.020553811242799425,0.024329329361740502,2153
Gli3,824,919,1270,1176,-0.15742052410581622,0.11094043682316385,2153
Pou6f2,919,919,1176,1176,0.0,0.0,2153
Zscan12,913,919,1182,1176,-0.009450001304812432,0.007341975341167981,2153
Zkscan3,886,919,1204,1176,-0.05275816273401611,0.03394733192333753,2153
Zscan26,911,919,1184,1176,-0.0126138074869838,0.009781020792585396,2153
Zkscan4,914,919,1181,1176,-0.00787069623096478,0.006120904560792738,2153
Zkscan8,920,919,1175,1176,0.001568999655340681,-0.00122730338400237,2153
Sox4,770,919,1340,1176,-0.25520641570677083,0.18834494050877043,2153
E2f3,907,919,1190,1176,-0.018962310760512108,0.017073513358941406,2153
Irf4,919,919,1176,1176,0.0,0.0,2153
Foxq1,919,919,1176,1176,0.0,0.0,2153
Foxf2,919,919,1176,1176,0.0,0.0,2153
Foxc1,919,919,1176,1176,0.0,0.0,2153
Rreb1,914,919,1181,1176,-0.00787069623096478,0.006120904560792738,2153
Tfap2a,920,919,1176,1176,0.001568999655340681,0.0,2153
Gcm2,919,919,1176,1176,0.0,0.0,2153
Hivep1,931,919,1148,1176,0.018716306269759092,-0.03476541816067664,2153
Barx1,919,919,1176,1176,0.0,0.0,2153
Nfil3,934,919,1161,1176,0.023357688420627503,-0.018520087970797895,2153
Msx2,919,919,1176,1176,0.0,0.0,2153
Mxd3,930,919,1169,1176,0.01716585470635916,-0.008613130304708033,2153
Pitx1,919,919,1176,1176,0.0,0.0,2153
Neurog1,877,919,1218,1176,-0.06748801884430153,0.05062607306996814,2153
Smad5,920,919,1182,1176,0.001568999655340681,0.007341975341167981,2153
Mterf3,905,919,1191,1176,-0.02214706931846677,0.018285353027749553,2153
Irx1,919,919,1176,1176,0.0,0.0,2153
Irx2,919,919,1176,1176,0.0,0.0,2153
Irx4,919,919,1176,1176,0.0,0.0,2153
Ahrr,918,919,1177,1176,-0.0015707078752265138,0.001226260202079849,2153
Pou5f2,913,919,1182,1176,-0.009450001304812432,0.007341975341167981,2153
Nr2f1,886,919,1210,1176,-0.05275816273401611,0.04111898732559258,2153
Mef2c,895,919,1197,1176,-0.03817717913741566,0.025535092107137478,2153
Spz1,919,919,1176,1176,0.0,0.0,2153
Otp,919,919,1176,1176,0.0,0.0,2153
Zbed3,929,919,1168,1176,0.015613735093618356,-0.009847785956347178,2153
Foxd1,919,919,1176,1176,0.0,0.0,2153
Gpbp1,904,919,1184,1176,-0.02374208887384673,0.009781020792585396,2153
Isl1,939,919,1156,1176,0.03106029636473993,-0.024746662335685607,2153
Fezf2,912,919,1185,1176,-0.011031037124292894,0.010998998949257108,2153
Rarb,921,919,1174,1176,0.0031362948023009943,-0.0024556517263121347,2153
Thrb,919,919,1176,1176,0.0,0.0,2153
Nr1d2,913,919,1180,1176,-0.009450001304812432,0.004898799412839056,2153
Hesx1,919,919,1176,1176,0.0,0.0,2153
Otx2,919,919,1175,1176,0.0,-0.00122730338400237,2153
Sall2,889,919,1201,1176,-0.047881442459264574,0.03034809086926977,2153
Cebpe,919,919,1176,1176,0.0,0.0,2153
Homez,917,919,1178,1176,-0.0031431276939800435,0.002451478994096389,2153
Zfhx2,917,919,1178,1176,-0.0031431276939800435,0.002451478994096389,2153
Nrl,919,919,1176,1176,0.0,0.0,2153
Irf9,920,919,1174,1176,0.001568999655340681,-0.0024556517263121347,2153
