Gene,Perturbed_Notochord_count,Unperturbed_Notochord_count,Perturbed_Prechordal_count,Unperturbed_Prechordal_count,Notochord_LogFC,Prechordal_LogFC,Total_cells
IRF3,634,634,107,107,0.0,0.0,741
IRF4B,634,634,107,107,0.0,0.0,741
IRF5,634,634,107,107,0.0,0.0,741
IRF6,617,634,124,107,-0.03921235098998945,0.21272932398572814,741
IRF7,634,634,107,107,0.0,0.0,741
IRF8,634,634,107,107,0.0,0.0,741
IRF9,634,634,107,107,0.0,0.0,741
IRX1A,634,634,107,107,0.0,0.0,741
IRX1B,633,634,108,107,-0.0022773407110659246,0.01342051576232144,741
IRX2A,634,634,107,107,0.0,0.0,741
IRX3A,594,634,147,107,-0.09401990933864153,0.4582053584352175,741
IRX3B,634,634,107,107,0.0,0.0,741
IRX4A,634,634,107,107,0.0,0.0,741
IRX4B,634,634,107,107,0.0,0.0,741
IRX5A,634,634,107,107,0.0,0.0,741
IRX5B,634,634,107,107,0.0,0.0,741
IRX6A,634,634,107,107,0.0,0.0,741
IRX7,639,634,102,107,0.0113330908075871,-0.06904164442965136,741
ISL1,634,634,107,107,0.0,0.0,741
ISL1L,634,634,107,107,0.0,0.0,741
ISL2A,634,634,107,107,0.0,0.0,741
ISL2B,634,634,107,107,0.0,0.0,741
JARID2A,634,634,107,107,0.0,0.0,741
JAZF1A,641,634,100,107,0.015841516479333677,-0.09761079662642226,741
JAZF1B,634,634,107,107,0.0,0.0,741
JDP2A,634,634,107,107,0.0,0.0,741
JDP2B,634,634,107,107,0.0,0.0,741
JUN,627,634,114,107,-0.016017397337368386,0.09142302776359458,741
JUNBA,632,634,109,107,-0.004558281962304301,0.02671733837577941,741
JUNBB,635,634,106,107,0.0022737515201209325,-0.01354653183794777,741
JUND,634,634,107,107,0.0,0.0,741
KAT7A,634,634,107,107,0.0,0.0,741
KAT7B,638,634,103,107,0.009073583625462067,-0.054966459217928566,741
KCMF1,638,634,103,107,0.009073583625462067,-0.054966459217928566,741
KDM2AA,614,634,127,107,-0.0462441847692279,0.24721770037101895,741
KDM2AB,643,634,98,107,0.02033589718853994,-0.12675714228593873,741
KDM2BA,601,634,140,107,-0.07711784942822182,0.3878160305438194,741
KDM2BB,634,634,107,107,0.0,0.0,741
KDM5BA,632,634,109,107,-0.004558281962304301,0.02671733837577941,741
KDM5BB,636,634,105,107,0.004543925144948079,-0.027221468735024314,741
KIFC1,583,634,158,107,-0.1209869569389109,0.5623137617759559,741
KLF1,634,634,107,107,0.0,0.0,741
KLF11A,634,634,107,107,0.0,0.0,741
KLF11B,636,634,105,107,0.004543925144948079,-0.027221468735024314,741
KLF12A,634,634,107,107,0.0,0.0,741
KLF12B,634,634,107,107,0.0,0.0,741
KLF13,633,634,108,107,-0.0022773407110659246,0.01342051576232144,741
KLF15,634,634,107,107,0.0,0.0,741
KLF17,666,634,75,107,0.07103933693185475,-0.5126482959052661,741
KLF2A,634,634,107,107,0.0,0.0,741
KLF2B,632,634,109,107,-0.004558281962304301,0.02671733837577941,741
KLF3,642,634,99,107,0.018090456982895763,-0.11211036632153734,741
KLF4,634,634,107,107,0.0,0.0,741
KLF5A,634,634,107,107,0.0,0.0,741
KLF5B,634,634,107,107,0.0,0.0,741
KLF6A,626,634,115,107,-0.018320183206788968,0.10402306454322828,741
KLF6B,635,634,106,107,0.0022737515201209325,-0.01354653183794777,741
KLF7A,634,634,107,107,0.0,0.0,741
KLF7B,635,634,106,107,0.0022737515201209325,-0.01354653183794777,741
KLF8,635,634,106,107,0.0022737515201209325,-0.01354653183794777,741
KLF9,634,634,107,107,0.0,0.0,741
KMT2A,628,634,113,107,-0.013718281247780323,0.07871197601404076,741
KMT2BA,633,634,108,107,-0.0022773407110659246,0.01342051576232144,741
KMT2BB,635,634,106,107,0.0022737515201209325,-0.01354653183794777,741
