index,fate_excluding_DCs,fate_excluding_Ery_1,fate_excluding_HSC_1,fate_excluding_Mono_1,fate_excluding_Precursors,fate_excluding_HSC_2,fate_excluding_Mono_2,fate_excluding_Ery_2
Run4_126218845961141,Ery_1,DCs,Mega,DCs,Mono_1,Mega,Mega,Mono_1
Run4_126218845964661,DCs,DCs,DCs,DCs,Mega,DCs,Mono_2,DCs
Run4_126218864355163,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_126218864650676,Ery_2,Mega,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_126227542817590,DCs,DCs,DCs,DCs,Mega,Mega,DCs,HSC_1
Run4_126227542919516,DCs,DCs,DCs,DCs,Mono_1,DCs,Ery_2,DCs
Run4_126227557039341,DCs,Mono_1,DCs,DCs,DCs,DCs,DCs,DCs
Run4_126227557046070,Ery_2,Mega,Ery_1,Ery_2,Ery_2,Ery_1,Ery_2,Ery_1
Run4_126227557243316,Mono_2,Mono_1,DCs,DCs,DCs,DCs,DCs,DCs
Run4_126227569366820,Precursors,DCs,DCs,DCs,Mono_2,DCs,DCs,DCs
Run4_126227569621427,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_126227588246750,DCs,DCs,DCs,DCs,DCs,DCs,DCs,Mono_1
Run4_126227588791004,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_126227588802285,Mono_1,DCs,Mono_2,DCs,Mono_1,DCs,DCs,DCs
Run4_126293980141348,Ery_2,Ery_1,Ery_2,Ery_2,Mega,Ery_1,Ery_2,Ery_1
Run4_126293980661533,Mono_2,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_126293994757531,Mega,Mega,Mega,Mega,Mega,Mega,Mega,Mega
Run4_126294007335772,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_126294026566566,DCs,DCs,DCs,DCs,DCs,DCs,Mega,DCs
Run4_126364069050716,Mono_1,Mono_1,Mono_1,Mono_2,Mono_1,Mono_1,Mono_1,Mono_1
Run4_126364069287782,Mono_1,Mono_1,Mono_1,Mono_2,Mono_1,Mono_1,Mono_1,Mono_1
Run4_126364087900021,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_126364087905005,Mono_2,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_126364087905510,DCs,Mono_1,DCs,DCs,Mega,Ery_1,Mega,Mono_1
Run4_126364088155371,Mono_2,DCs,DCs,DCs,DCs,DCs,Mono_2,DCs
Run4_126680929782694,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_126680929789814,Mono_2,DCs,Mono_1,DCs,Mono_1,DCs,DCs,DCs
Run4_126680944201140,Mono_2,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_126680957369771,Mono_1,Mono_1,Mono_1,Mono_1,Mono_1,Mono_1,Mono_2,Mono_2
Run4_126680975730542,DCs,DCs,DCs,DCs,Ery_2,DCs,DCs,DCs
Run4_126680975759790,Ery_1,DCs,DCs,DCs,Mono_1,DCs,Ery_1,Mega
Run4_126680975988467,Mono_1,Mono_1,Mono_1,Mono_2,Mono_2,DCs,Mono_2,DCs
Run4_126680976217949,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_126681615616421,Mono_2,Mono_1,DCs,DCs,DCs,Mega,Mega,DCs
Run4_126681627872157,DCs,DCs,DCs,DCs,DCs,DCs,Mono_1,DCs
